rent,price,square,bedrooms,bathrooms,balcony,house_direction,legal_info,furniture,hurried,floors,basement
False,,48.0,,,False,,True,False,False,0,False
False,"3,45 tỷ",40.0,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,,,,,False,nam,False,False,False,0,False
False,,48.0,,,False,,True,False,False,0,False
False,1.89 tỷ,,,,False,,False,False,False,0,False
False,3.1 tỷ,,,,False,,False,False,False,0,False
False,8 tỷ,,,,False,,False,False,False,0,False
False,"4,2 tỷ",,,,False,,False,False,False,0,False
False,3.15 tỷ,89.0,,,False,đông,False,False,False,0,False
False,5.7 tỷ,,,,False,,False,False,False,0,False
False,"3,1 tỷ",60.0,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,4.5 tỷ,42.0,,,False,,False,False,False,3,False
False,4 tỷ,,4.0,,False,,False,False,False,4,False
False,2.8 tỷ,42.0,,,False,,False,False,False,2,False
False,,82.0,3.0,,False,,False,False,False,3,False
False,4tỷ,,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,,,,,False,,False,False,True,5,False
False,"1,2 tỷ",56.0,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,10 tỷ,50.0,4.0,,False,,False,False,False,0,False
False,8 tỷ,58.0,,,False,,False,False,False,4,False
False,,160.0,,,False,,False,False,False,3,False
False,5.x tỷ,45.0,,,False,,False,False,False,4,False
False,4 tỷ,,4.0,,False,,False,False,False,4,False
False,11 tỷ,,,,False,,False,False,False,4,False
False,"3,7 tỷ",60.0,,,False,,False,False,False,0,False
False,"3,35 tỷ",52.0,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,6.5tỷ,90.0,,,False,,False,False,False,4,False
False,5tỷ,,,,False,,False,False,False,0,False
False,3tỷ,,3.0,,False,,False,False,False,0,False
False,3.2 tỷ,52.0,,,False,,False,False,False,2,False
False,,115.0,5.0,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,3 tỷ,50.0,,,False,,False,False,False,0,False
False,3.2 tỷ,77.0,,,False,,False,False,False,2,False
False,6.5 tỷ,63.0,4.0,,False,,False,False,False,4,False
False,,,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,4,False
False,,,,,False,,False,False,True,0,False
False,,,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,3.9 tỷ,,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,4 tỷ,,,,False,,False,False,False,2,False
False,4 tỷ,,,,False,,False,False,False,2,False
False,5.x tỷ,70.0,,,False,,False,False,False,2,False
False,4 tỷ,13.0,4.0,3.0,False,,True,False,False,3,False
False,3.95 tỷ,,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,2,False
False,6 tỷ,,,,False,,False,False,False,5,False
False,,,3.0,,False,,False,False,False,2,False
False,7.7 tỷ,95.0,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,7.5 tỷ,,8.0,,False,,False,False,False,0,False
False,"3,35 tỷ",,3.0,,False,,False,False,False,0,False
False,"3,3 tỷ",50.0,,,False,,False,False,False,0,False
False,4 tỷ,,,,False,,False,False,False,3,False
False,4 tỷ,,,,False,,False,False,False,3,False
False,,,,,False,,False,False,False,0,False
False,3tỷ,,,,False,,False,False,False,0,False
False,3tỷ,50.0,,,False,,False,False,False,0,False
False,"2,15 tỷ",,,,False,,False,False,False,0,False
False,"8,8 tỷ",,,,False,đông,False,False,False,0,False
False,,,,,False,,True,False,False,2,False
False,,,,,False,,False,False,False,0,False
False,13 tỷ,,,,False,,False,False,True,4,False
False,"10,6 tỷ",,,,False,,False,False,False,2,False
False,7.1 tỷ,,,,False,,False,False,False,0,False
False,4 tỷ,,,,False,,False,False,False,2,False
False,7 tỷ,60.0,,,False,,False,False,False,3,False
False,7 tỷ,68.0,5.0,,False,,False,False,False,5,False
False,,,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,"3,6tỷ",50.0,,,False,,False,False,False,2,False
False,3.1 tỷ,,,,False,,False,False,False,0,False
False,"3,8 tỷ",73.0,,,False,,False,False,False,0,False
False,4 tỷ,70.0,,,False,,False,False,False,0,False
True,,590.0,,,False,,False,False,False,6,False
False,13tỷ,,,,False,,False,True,True,3,False
False,13tỷ,,,,False,,False,True,True,3,False
False,,500.0,,,False,,False,False,False,0,False
False,,,,,False,,False,False,False,0,False
False,5 tỷ,110.0,,,False,,False,False,True,0,False
False,4 tỷ,40.0,,,False,,False,False,False,2,False
False,3 tỷ,,,,False,,False,False,False,3,False
