post_code,post_date,district,square,bedroom,bathroom,house_direction,has_balcony,has_furniture,has_legal_info,is_hurried,floor,has_basement,house_type,price
278452,"[datetime.datetime(2023, 9, 18, 10, 5)]",Bình Thạnh,45.8,4.0,3.0,,False,False,False,False,4,False,nhà riêng,2.0
278451,"[datetime.datetime(2023, 9, 18, 10, 17)]",Gò Vấp,44.0,2.0,2.0,đông,True,False,True,False,2,False,nhà riêng,5.6
278444,"[datetime.datetime(2023, 9, 18, 10, 35)]",Phú Nhuận,30.0,2.0,2.0,,True,False,True,False,2,False,nhà riêng,3.5
278441,"[datetime.datetime(2023, 9, 18, 10, 48)]",Bình Tân,100.0,4.0,3.0,tây-bắc,True,True,False,False,3,False,nhà riêng,7.38
278434,"[datetime.datetime(2023, 9, 18, 11, 58)]",Nhà Bè,72.0,4.0,3.0,đông,True,True,True,False,4,False,nhà riêng,5.9
278432,"[datetime.datetime(2023, 9, 18, 12, 7)]",Nhà Bè,54.0,4.0,5.0,đông-nam,False,False,True,False,4,False,nhà riêng,6.0
278431,"[datetime.datetime(2023, 9, 18, 12, 11)]",Thủ Đức,90.0,10.0,10.0,tây,False,False,True,False,0,False,nhà riêng,5.7
278419,"[datetime.datetime(2023, 9, 18, 13, 52)]",Bình Tân,60.0,2.0,,,True,False,False,False,2,False,nhà mặt phố,4.8
278410,"[datetime.datetime(2023, 9, 18, 14, 38)]",Bình Tân,50.0,,,,False,False,False,False,2,False,nhà riêng,3.6
278405,"[datetime.datetime(2023, 9, 18, 14, 56)]",Thủ Đức,88.6,4.0,5.0,,False,True,False,False,5,False,nhà riêng,8.0
278397,"[datetime.datetime(2023, 9, 18, 15, 27)]",Gò Vấp,187.4,6.0,5.0,,False,False,True,False,3,False,nhà riêng,2.0
278393,"[datetime.datetime(2023, 9, 12, 21, 50)]",Bình Tân,70.0,3.0,2.0,nam,False,False,True,True,3,False,nhà riêng,4.0
278392,"[datetime.datetime(2023, 9, 16, 23, 14)]",Thủ Đức,70.0,4.0,3.0,,True,False,True,False,4,False,nhà riêng,5.8
278386,"[datetime.datetime(2023, 9, 17, 7, 49)]",Bình Tân,270.0,20.0,20.0,đông,True,False,True,False,0,False,nhà riêng,9.98
278378,"[datetime.datetime(2023, 9, 17, 9, 40)]",Quận 3,47.0,6.0,4.0,,False,False,True,True,5,False,nhà riêng,2.45
278374,"[datetime.datetime(2023, 9, 17, 11, 17)]",Bình Thạnh,38.0,2.0,2.0,,True,False,True,False,2,False,nhà riêng,4.8
278370,"[datetime.datetime(2023, 9, 17, 13, 9)]",Bình Thạnh,50.0,2.0,2.0,,False,False,True,False,2,False,nhà riêng,4.2
278369,"[datetime.datetime(2023, 9, 17, 13, 9)]",Quận 9,65.0,5.0,5.0,tây,False,False,True,False,4,False,nhà riêng,4.7
278367,"[datetime.datetime(2023, 9, 17, 13, 27)]",Bình Thạnh,40.0,2.0,2.0,đông,False,False,True,False,2,False,nhà riêng,5.3
278365,"[datetime.datetime(2023, 9, 17, 14, 5)]",Nhà Bè,80.3,4.0,5.0,,False,False,False,False,6,False,nhà riêng,6.0
278364,"[datetime.datetime(2023, 9, 17, 14, 14)]",Quận 7,45.0,2.0,2.0,,False,False,True,False,2,False,nhà riêng,3.0
278363,"[datetime.datetime(2023, 9, 17, 14, 18)]",Nhà Bè,36.0,2.0,2.0,,False,True,False,True,2,False,nhà riêng,3.0
278360,"[datetime.datetime(2023, 9, 17, 16, 3)]",Quận 9,65.0,3.0,2.0,nam,False,False,True,False,2,False,nhà riêng,5.8
278359,"[datetime.datetime(2023, 9, 17, 18, 8)]",Bình Tân,84.0,,,,False,False,False,False,0,False,nhà riêng,4.2
278358,"[datetime.datetime(2023, 9, 17, 18, 23)]",Phú Nhuận,21.12,,3.0,tây,True,True,True,True,4,False,nhà riêng,3.0
278357,"[datetime.datetime(2023, 9, 17, 19, 41)]",Thủ Đức,55.0,4.0,5.0,tây,False,True,True,False,4,False,nhà riêng,6.0
278348,"[datetime.datetime(2023, 9, 18, 7, 1)]",Tân Phú,45.0,3.0,3.0,,True,False,True,False,4,False,nhà riêng,4.0
278325,"[datetime.datetime(2023, 9, 16, 15, 13)]",Quận 6,80.0,5.0,5.0,bắc,True,True,False,False,5,False,nhà mặt phố,12.68
278320,"[datetime.datetime(2023, 9, 16, 15, 44)]",Bình Tân,64.0,2.0,2.0,nam,True,False,False,True,3,False,nhà riêng,4.9
278319,"[datetime.datetime(2023, 9, 16, 15, 46)]",Bình Tân,52.0,2.0,2.0,đông,False,False,False,False,2,False,nhà riêng,4.1
278311,"[datetime.datetime(2023, 9, 16, 16, 53)]",Tân Bình,38.0,2.0,2.0,,False,False,True,False,2,False,nhà riêng,3.5
278310,"[datetime.datetime(2023, 9, 16, 17, 9)]",Phú Nhuận,50.0,3.0,2.0,,False,False,True,False,2,False,nhà riêng,3.8
278309,"[datetime.datetime(2023, 9, 16, 17, 22)]",Thủ Đức,85.0,3.0,2.0,,False,False,True,False,0,False,nhà riêng,5.3
278307,"[datetime.datetime(2023, 9, 16, 18, 54)]",Thủ Đức,58.0,3.0,2.0,,False,False,True,False,1,False,nhà riêng,5.6
278297,"[datetime.datetime(2023, 9, 9, 14, 43)]",Quận 9,280.0,5.0,4.0,,False,False,True,False,4,False,nhà riêng,5.2
278295,"[datetime.datetime(2023, 9, 15, 14, 35)]",Quận 3,35.0,3.0,,,True,True,False,False,6,False,nhà riêng,6.7
278294,"[datetime.datetime(2023, 9, 15, 14, 50)]",Thủ Đức,60.6,3.0,3.0,tây,False,False,True,False,4,False,nhà riêng,5.0
278291,"[datetime.datetime(2023, 9, 15, 14, 55)]",Thủ Đức,65.0,2.0,3.0,,True,True,True,False,4,False,nhà riêng,8.1
278289,"[datetime.datetime(2023, 9, 15, 14, 59)]",Tân Bình,39.0,2.0,2.0,,True,False,False,False,2,False,nhà riêng,3.75
278284,"[datetime.datetime(2023, 9, 15, 15, 40)]",Quận 6,160.0,5.0,2.0,tây-nam,True,False,True,False,0,False,nhà mặt phố,16.8
278282,"[datetime.datetime(2023, 9, 15, 15, 50)]",Bình Tân,160.0,5.0,5.0,đông,True,False,True,False,0,False,nhà riêng,14.0
278271,"[datetime.datetime(2023, 9, 15, 16, 33)]",Bình Thạnh,60.0,2.0,2.0,,True,False,True,False,2,False,nhà riêng,5.7
278267,"[datetime.datetime(2023, 9, 15, 17, 5)]",Thủ Đức,130.0,2.0,1.0,,False,False,True,False,0,False,nhà riêng,4.9
278263,"[datetime.datetime(2023, 9, 15, 17, 40)]",Gò Vấp,48.0,2.0,1.0,,False,False,True,False,0,False,nhà riêng,3.0
278262,"[datetime.datetime(2023, 9, 15, 17, 53)]",Thủ Đức,35.0,,,,False,False,False,False,4,False,nhà riêng,2.6
278261,"[datetime.datetime(2023, 9, 15, 17, 55)]",Thủ Đức,35.0,,,,False,False,False,False,4,False,nhà riêng,2.6
278247,"[datetime.datetime(2023, 9, 16, 8, 34)]",Tân Phú,45.0,3.0,3.0,,True,False,True,False,3,False,nhà riêng,4.0
278241,"[datetime.datetime(2023, 9, 16, 9, 59)]",Tân Phú,64.0,3.0,3.0,,False,True,True,False,5,False,nhà riêng,10.7
278237,"[datetime.datetime(2023, 9, 16, 10, 31)]",Gò Vấp,53.0,3.0,3.0,đông-bắc,True,False,True,False,4,False,nhà riêng,6.4
278236,"[datetime.datetime(2023, 9, 16, 10, 31)]",Bình Thạnh,40.0,4.0,3.0,,True,False,True,False,4,False,nhà riêng,4.9
278228,"[datetime.datetime(2023, 9, 16, 11, 55)]",Gò Vấp,70.0,5.0,6.0,,False,False,True,False,7,False,nhà riêng,10.7
278224,"[datetime.datetime(2023, 9, 16, 12, 40)]",Bình Tân,56.0,3.0,,,False,False,True,False,6,False,nhà riêng,4.35
278220,"[datetime.datetime(2023, 9, 13, 9, 25)]",Tân Bình,43.0,3.0,3.0,,False,True,True,False,4,False,nhà riêng,4.4
278218,"[datetime.datetime(2023, 9, 15, 9, 11)]",Tân Bình,65.0,4.0,4.0,,False,False,True,False,4,False,nhà mặt phố,12.5
278217,"[datetime.datetime(2023, 9, 15, 9, 34)]",Gò Vấp,50.0,4.0,3.0,tây-bắc,True,False,True,False,5,False,nhà riêng,7.0
278214,"[datetime.datetime(2023, 9, 15, 9, 58)]",Quận 6,110.0,8.0,6.0,tây-nam,True,True,False,True,6,False,nhà mặt phố,18.88
278211,"[datetime.datetime(2023, 9, 15, 10, 37)]",Quận 2,68.5,4.0,3.0,đông-nam,True,False,False,False,2,False,nhà riêng,6.99
278210,"[datetime.datetime(2023, 9, 15, 10, 41)]",Quận 10,36.4,3.0,3.0,,False,True,True,False,3,False,nhà riêng,1.0
278209,"[datetime.datetime(2023, 9, 15, 10, 47)]",Bình Thạnh,40.0,3.0,2.0,,False,False,True,False,3,False,nhà riêng,4.1
278199,"[datetime.datetime(2023, 9, 15, 13, 37)]",Bình Thạnh,42.0,4.0,3.0,,False,False,False,False,5,False,nhà riêng,6.8
278198,"[datetime.datetime(2023, 9, 15, 13, 42)]",Gò Vấp,88.0,3.0,2.0,,False,False,False,False,2,False,nhà riêng,7.0
278197,"[datetime.datetime(2023, 9, 15, 13, 56)]",Quận 10,36.4,3.0,3.0,,False,True,True,False,3,False,nhà riêng,1.0
278195,"[datetime.datetime(2023, 9, 15, 14, 0)]",Bình Thạnh,30.0,2.0,1.0,,False,False,True,False,0,False,nhà riêng,1.0
278194,"[datetime.datetime(2023, 9, 15, 14, 2)]",Gò Vấp,73.0,4.0,4.0,nam,True,False,True,False,1,False,nhà riêng,6.7
278193,"[datetime.datetime(2023, 9, 15, 14, 5)]",Bình Tân,71.0,,,đông,False,False,False,False,3,False,nhà riêng,4.5
278186,"[datetime.datetime(2023, 9, 15, 9, 2)]",Bình Thạnh,30.0,2.0,1.0,,False,False,True,False,0,False,nhà riêng,1.0
278175,"[datetime.datetime(2023, 9, 14, 9, 7)]",Bình Tân,64.0,,,đông,False,False,False,False,4,False,nhà riêng,5.6
278173,"[datetime.datetime(2023, 9, 14, 9, 17)]",Bình Tân,140.0,,,đông,False,False,False,False,0,False,nhà riêng,7.2
278171,"[datetime.datetime(2023, 9, 14, 9, 30)]",Bình Tân,72.0,,,đông,False,False,False,False,3,False,nhà riêng,5.6
278170,"[datetime.datetime(2023, 9, 14, 9, 33)]",Quận 8,37.0,4.0,3.0,,False,False,False,False,2,False,nhà riêng,2.29
278167,"[datetime.datetime(2023, 9, 14, 9, 41)]",Bình Tân,56.0,,,đông,False,False,False,False,2,False,nhà riêng,5.0
278164,"[datetime.datetime(2023, 9, 14, 9, 55)]",Bình Tân,74.0,,,đông,False,False,False,False,5,False,nhà riêng,7.8
278159,"[datetime.datetime(2023, 9, 14, 10, 7)]",Tân Bình,54.0,3.0,3.0,,False,False,True,False,3,False,nhà riêng,4.95
278153,"[datetime.datetime(2023, 9, 14, 10, 28)]",Bình Tân,53.0,,,đông,False,False,False,False,5,False,nhà riêng,5.75
278152,"[datetime.datetime(2023, 9, 14, 10, 35)]",Quận 12,42.0,2.0,2.0,,False,False,True,False,2,False,nhà riêng,2.7
278148,"[datetime.datetime(2023, 9, 14, 10, 40)]",Bình Tân,52.0,,,đông,False,False,False,False,5,False,nhà riêng,6.15
