url,title,post_code,post_date,district,price,square,bedroom,bathroom
https://batdongsan.vn/nha-hiem-ngay-cho-thi-nghe-phuong-17-binh-thanh-2-tang-btct-55m2-5x-ty-r278625,"NHÀ HIẾM NGAY CHỢ THỊ NGHÈ, PHƯỜNG 17, BÌNH THẠNH, 2 TẦNG BTCT, 55M2, 5.x TỶ",278625,"[datetime.datetime(2023, 9, 20, 9, 19)]",Bình Thạnh,5.8,55.0,2.0,2.0
https://batdongsan.vn/nha-rong-hem-an-ninh-o-to-tranh-doi-dien-cc-son-ky-35-ty-r278619,"Nhà rộng, hẻm an ninh ô tô tránh, đối diện C/c Sơn Kỳ, 3.5 tỷ",278619,"[datetime.datetime(2023, 9, 20, 10, 22)]",Tân Phú,3.5,52.0,2.0,2.0
https://batdongsan.vn/cua-nhua-gia-go-abs-han-quoc-gia-re-tai-quan-9-bao-gia-r278617,Cửa nhựa giả gỗ ABS Hàn Quốc giá rẻ tại Quận 9 [Báo giá],278617,"[datetime.datetime(2023, 9, 20, 10, 28)]",Quận 9,,,,
https://batdongsan.vn/ban-gap-nha-hem-duong-hoang-dieu-p10-phu-nhuan-r278605,"Bán gấp nhà hẻm đường Hoàng Diệu, p10, Phú Nhuận",278605,"[datetime.datetime(2023, 9, 20, 11, 26)]",Phú Nhuận,3.77,25.6,,
https://batdongsan.vn/chinh-chu-di-nuoc-ngoai-can-ban-gap-nha-vuong-vuc-duong-truong-quoc-dung-p10-phu-nhuan-r278604,"Chính chủ đi nước ngoài cần bán gấp nhà vuông vức đường Trương Quốc Dung, P.10, Phú Nhuận",278604,"[datetime.datetime(2023, 9, 20, 11, 35)]",Phú Nhuận,,30.45,4.0,6.0
https://batdongsan.vn/nha-nho-xinh-hiem-sat-mat-tien-duong-le-quy-don-p12-phu-nhuan-r278603,"Nhà nhỏ xinh – hiếm, sát mặt tiền đường Lê Quý Đôn, P.12, Phú Nhuận",278603,"[datetime.datetime(2023, 9, 20, 11, 39)]",Phú Nhuận,1.9,32.0,2.0,2.0
https://batdongsan.vn/nha-hem-4m-thong-xo-viet-nghe-tinh-phuong-21-binh-thanh-81m2-42-x-19-2-tang-6x-ty-r278601,"Nhà Hẻm 4m Thông Xô Viết Nghệ Tỉnh Phường 21 Bình Thạnh 81m2, 4.2 x 19, 2 Tầng , 6.X Tỷ",278601,"[datetime.datetime(2023, 9, 20, 11, 57)]",Bình Thạnh,6.5,81.0,4.0,4.0
https://batdongsan.vn/nha-pho-trung-tam-dep-moi-hem-duong-nguyen-dinh-chinh-p11-phu-nhuan-r278597,"Nhà phố trung tâm đẹp mới hẻm đường Nguyễn Đình Chính, P.11, Phú Nhuận",278597,"[datetime.datetime(2023, 9, 20, 13, 58)]",Phú Nhuận,4.9,36.0,,
https://batdongsan.vn/ban-gap-nha-hem-xe-hoi-do-cua-4-tang-41m2-bui-quang-la-gvap-dung-53ty-r278592,"Bán Gấp nhà hẻm Xe Hơi đỗ cửa, 4 tầng 41m2, Bùi Quang Là, GVap, đúng 5.3tỷ",278592,"[datetime.datetime(2023, 9, 20, 14, 16)]",Gò Vấp,5.3,41.0,,
https://batdongsan.vn/ban-gap-nha-hem-xe-hoi-do-cua-4-tang-41m2-bui-quang-la-gvap-dung-53ty-r278591,"Bán Gấp nhà hẻm Xe Hơi đỗ cửa, 4 tầng 41m2, Bùi Quang Là, GVap, đúng 5.3tỷ",278591,"[datetime.datetime(2023, 9, 20, 14, 16)]",Gò Vấp,5.3,41.0,,
https://batdongsan.vn/nha-lo-goc-kha-van-can-vai-buoc-ra-mt-3-tang-5pn-4wchem-thongoto-r278586,"Nhà lô góc Kha Vạn Cân vài bước ra MT , 3 tầng, 5PN 4WC,hẻm thông,oto",278586,"[datetime.datetime(2023, 9, 20, 14, 24)]",Thủ Đức,4.8,60.0,5.0,4.0
https://batdongsan.vn/nha-pho-ngay-cho-hiep-binh-thu-duc-60m2-3pn-4wc-chu-ngop-bank-ban-gap-so-san-cong-chung-lien-hem-xe-hoi-chi-5-tycan-r278585,"Nhà phố  ngay chợ Hiệp Bình  thủ đức 60m2 3PN 4WC chủ ngộp bank bán gấp sổ sẵn công chứng liền, hẽm xe hơi chỉ 5 tỷ/căn",278585,"[datetime.datetime(2023, 9, 20, 14, 26)]",Thủ Đức,5.0,60.0,3.0,4.0
https://batdongsan.vn/ngop-bank-truong-tho-84m2-3-tang-duc-4pn-gia-chi-78-ty-r278584,"Ngộp bank TRƯỜNG THỌ, 84m2, 3 tầng đúc, 4PN giá chỉ 7.8 tỷ",278584,"[datetime.datetime(2023, 9, 20, 14, 38)]",Thủ Đức,7.8,84.0,,
https://batdongsan.vn/ban-nha-le-quang-dinh-binh-thanh-dt-56m2-lh-0932155399-r278574,Bán Nhà Lê Quang Định Bình Thạnh. DT: 56m2. LH: 0932155399.,278574,"[datetime.datetime(2023, 9, 20, 15, 4)]",Bình Thạnh,7.9,56.0,6.0,7.0
https://batdongsan.vn/ban-nha-no-hau-30m2-tan-hoa-dong-quan-6-gia-bung-no-chi-nhinh-2-ty-r278570,BÁN NHÀ NỞ HẬU – 30M2 – TÂN HÒA ĐÔNG – QUẬN 6 – GIÁ BÙNG NỔ CHỈ NHỈNH 2 TỶ,278570,"[datetime.datetime(2023, 9, 20, 15, 24)]",Quận 6,2.0,30.0,1.0,1.0
